[  5]   0.00-10.59  sec  5.73 MBytes  4.54 Mbits/sec  0.000 ms  0/4152 (0%)  sender
[  5]   0.00-26.55  sec  3.21 MBytes  1.01 Mbits/sec  83.180 ms  1495/3817 (39%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4315 (0%)  sender
[  5]   0.00-10.00  sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4316 (0%)  sender
[  5]   0.00-10.27  sec  3.33 MBytes  2.72 Mbits/sec  3.466 ms  1905/4315 (44%)  receiver
[  5]   0.00-10.50  sec  5.75 MBytes  4.59 Mbits/sec  0.000 ms  0/4162 (0%)  sender
[  5]   0.00-16.54  sec  3.22 MBytes  1.63 Mbits/sec  39.992 ms  1832/4162 (44%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4316 (0%)  sender
[  5]   0.00-10.70  sec  3.62 MBytes  2.84 Mbits/sec  1.528 ms  1688/4313 (39%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4316 (0%)  sender
[  5]   0.00-10.06  sec  3.55 MBytes  2.96 Mbits/sec  1.276 ms  1745/4315 (40%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4316 (0%)  sender
[  5]   0.00-10.07  sec  3.82 MBytes  3.18 Mbits/sec  2.922 ms  1551/4315 (36%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-10.07  sec  3.82 MBytes  3.19 Mbits/sec  1.743 ms  1547/4315 (36%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4316 (0%)  sender
[  5]   0.00-10.07  sec  3.82 MBytes  3.18 Mbits/sec  0.551 ms  1549/4315 (36%)  receiver
[  5]   0.00-10.00  sec  5.39 MBytes  4.52 Mbits/sec  0.000 ms  0/3900 (0%)  sender
[  5]   0.00-46.94  sec  2.41 MBytes   430 Kbits/sec  54.253 ms  2139/3883 (55%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-10.66  sec  3.70 MBytes  2.91 Mbits/sec  1.767 ms  1640/4317 (38%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-11.48  sec  3.52 MBytes  2.57 Mbits/sec  1.551 ms  1766/4314 (41%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-10.07  sec  3.82 MBytes  3.18 Mbits/sec  1.050 ms  1549/4317 (36%)  receiver
[  5]   0.00-10.62  sec  5.74 MBytes  4.53 Mbits/sec  0.000 ms  0/4156 (0%)  sender
[  5]   0.00-36.55  sec  3.00 MBytes   689 Kbits/sec  133.809 ms  1975/4149 (48%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-10.06  sec  2.88 MBytes  2.40 Mbits/sec  0.946 ms  2229/4317 (52%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-10.07  sec  3.82 MBytes  3.19 Mbits/sec  2.287 ms  1548/4316 (36%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-10.07  sec  3.82 MBytes  3.18 Mbits/sec  0.769 ms  1553/4316 (36%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4314 (0%)  sender
[  5]   0.00-10.06  sec  3.81 MBytes  3.18 Mbits/sec  0.632 ms  1554/4314 (36%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4317 (0%)  sender
[  5]   0.00-10.96  sec  3.83 MBytes  2.93 Mbits/sec  2.644 ms  1544/4314 (36%)  receiver
[  5]   0.00-10.00  sec  5.96 MBytes  5.00 Mbits/sec  0.000 ms  0/4316 (0%)  sender
[  5]   0.00-10.07  sec  3.16 MBytes  2.63 Mbits/sec  2.142 ms  2030/4315 (47%)  receiver
